"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2887","should work on mobile devices","Mobile Chrome","Fri Aug 15 13:21:31 BST 2025","passed","Fri Aug 15 13:21:34 BST 2025","Data Processing Page","data.spec.js","",""
"","2351","should sort data","Mobile Chrome","Fri Aug 15 13:21:24 BST 2025","passed","Fri Aug 15 13:21:26 BST 2025","Data Processing Page","data.spec.js","",""
"","2127","should square data values","firefox","Fri Aug 15 13:18:05 BST 2025","passed","Fri Aug 15 13:18:07 BST 2025","Data Processing Page","data.spec.js","",""
"","773","should work correctly in firefox","webkit","Fri Aug 15 13:20:35 BST 2025","skipped","Fri Aug 15 13:20:36 BST 2025","Cross-Browser and Visual Testing > Cross-Browser Compatibility","visual.spec.js","",""
"","1905","should display correctly on mobile","firefox","Fri Aug 15 13:18:36 BST 2025","passed","Fri Aug 15 13:18:38 BST 2025","Cross-Browser and Visual Testing > Responsive Design Testing","visual.spec.js","",""
"","8994","should clear data","firefox","Fri Aug 15 13:17:52 BST 2025","broken","Fri Aug 15 13:18:01 BST 2025","Data Processing Page","data.spec.js","",""
"","1736","should clear display","Mobile Chrome","Fri Aug 15 13:21:08 BST 2025","passed","Fri Aug 15 13:21:10 BST 2025","Calculator Page","calculator.spec.js","",""
"","1784","should display calculator interface","chromium","Fri Aug 15 13:16:36 BST 2025","passed","Fri Aug 15 13:16:38 BST 2025","Calculator Page","calculator.spec.js","",""
"","893","should display user management interface","Mobile Chrome","Fri Aug 15 13:21:35 BST 2025","passed","Fri Aug 15 13:21:36 BST 2025","User Management Page","users.spec.js","",""
"","3477","should display chart after processing","Mobile Chrome","Fri Aug 15 13:21:29 BST 2025","failed","Fri Aug 15 13:21:32 BST 2025","Data Processing Page","data.spec.js","",""
"","5757","should record complete data analysis session","Mobile Chrome","Fri Aug 15 13:21:34 BST 2025","failed","Fri Aug 15 13:21:40 BST 2025","Data Processing Page","data.spec.js","",""
"","3585","should handle complex data processing workflow","Mobile Chrome","Fri Aug 15 13:21:30 BST 2025","failed","Fri Aug 15 13:21:33 BST 2025","Data Processing Page","data.spec.js","",""
"","2205","should create a new user","chromium","Fri Aug 15 13:16:56 BST 2025","passed","Fri Aug 15 13:16:59 BST 2025","User Management Page","users.spec.js","",""
"","3530","should handle keyboard input","webkit","Fri Aug 15 13:19:10 BST 2025","passed","Fri Aug 15 13:19:13 BST 2025","Calculator Page","calculator.spec.js","",""
